CATEGORY IMAGE LOCATION,PRODCUT CATEGORY,PRODUCT SUB CATEGORY,PART SERIES,P/N,DESCRIPTION,PACKAGE QTY,SHIPPING DIMENSIONS HxWxL,SHIPPING WEIGHT,1 PKG COST,3 PKG COST,5 PKG COST,10 PKG COST,QUANTITY IN STOCK,BACKORDER LEADTIME,REORDER LIMIT,COUNTRY OF ORIGIN,DFAR?,MFR C OF C,MATERIAL CERTS,PROCESS CERTS,TEST REPORTS,MFR,LOT IN USE,COST PER EA,CERT LOCATION,PER PIECE WEIGHT,PRODUCT IMAGE,SPEC SHEET,CERTIFICATE
screws.jpg,SCREWS,HEX CAP SCREWS,MS35307,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MS35307-303,1/4-20 X 1/2 HEX CAP SCREW STAINLESS STEEL DFAR,50,2x3x4,0.65,57.78,48.25,42.15,39.9,2500,2-3 DAYS,100,USA,Y,Y,Y,Y,Y,STILLWATER FASTENER,I15ZMS,0.39,CABINET A-1,0.0118,MS35307-303.jpg,MS35307-303-spec.pdf,MS35307-303-cert.pdf
,,,,MS35307-306,1/4-20 X 3/4 HEX CAP SCREW STAINLESS STEEL DFAR,50,2x3x4,1,81.5,59.78,54.34,48.91,1800,2-3 DAYS,100,USA,Y,Y,Y,Y,Y,STILLWATER FASTENER,I16ZMS,0.54,CABINET A-1,0.01433,MS35307-306.jpg,MS35307-306-spec.pdf,MS35307-306-cert.pdf
,,,,MS35307-333,5/16-18 X 7/8 HEX CAP SCREW STAINLESS STEEL DFAR,50,2x4x5,1.3,141.88,104.05,94.59,85.13,1690,2-3 DAYS,50,USA,Y,Y,Y,Y,Y,STILLWATER FASTENER,I17ZMS,0.94587,CABINET A-2,0.02557,MS35307-333.jpg,MS35307-333-spec.pdf,MS35307-333-cert.pdf
,SCREWS,HEX CAP SCREWS,MS35308,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MS35308-303,1/4-28 X 1/2 HEX CAP SCREW STAINLESS STEEL DFAR FINE,50,2x3x4,0.62,85.57,62.75,57.04,51.34,2200,2-3 DAYS,50,USA,Y,Y,Y,Y,Y,STILLWATER FASTENER,B02AMS,0.57044,CABINET A-3,0.01217,MS35308-303.jpg,MS35308-303-spec.pdf,MS35308-303-cert.pdf
,,,,MS35308-363,3/8-24 X 1-3/8 HEX CAP SCREW STAINLESS STEEL DFAR FINE,10,2x4x5,0.54,90.86,66.63,60.57,54.51,540,2-3 DAYS,50,USA,Y,Y,Y,Y,Y,STILLWATER FASTENER,B02AAMS,3.02852,CABINET A-3,0.054,MS35308-363.jpg,MS35308-363-spec.pdf,MS35308-363-cert.pdf
nuts.jpg,NUTS,HEX NUTS,MS35649,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MS35649-2252,1/4-20 MACHINE SCREW HEX NUT STAINLESS STEEL DFAR,100,2x3x3,0.55,42.6,36.21,32.85,29.82,3200,2-3 DAYS,150,USA,Y,Y,Y,Y,Y,STILLWATER FASTENER,N08KMS,0.213,CABINET B-1,0.0052,MS35649-2252.jpg,MS35649-2252-spec.pdf,MS35649-2252-cert.pdf
,,,,MS35649-2254,5/16-18 MACHINE SCREW HEX NUT STAINLESS STEEL DFAR,100,2x3x3,0.85,58.9,50.07,45.36,41.23,2750,2-3 DAYS,150,USA,Y,Y,Y,Y,Y,STILLWATER FASTENER,N09KMS,0.2945,CABINET B-1,0.0081,MS35649-2254.jpg,MS35649-2254-spec.pdf,MS35649-2254-cert.pdf
,,,,MS35649-2256,3/8-16 MACHINE SCREW HEX NUT STAINLESS STEEL DFAR,50,2x3x4,0.72,64.35,54.7,49.55,45.05,1400,2-3 DAYS,100,USA,Y,Y,Y,Y,Y,STILLWATER FASTENER,N10KMS,0.6435,CABINET B-2,0.0138,MS35649-2256.jpg,MS35649-2256-spec.pdf,MS35649-2256-cert.pdf
washers.jpg,WASHERS,FLAT WASHERS,NAS1149,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,NAS1149-F0332P,#10 FLAT WASHER CRES PASSIVATED DFAR,200,1x3x3,0.35,28.4,24.14,21.87,19.88,5000,2-3 DAYS,200,USA,Y,Y,Y,Y,Y,STILLWATER FASTENER,W04PMS,0.071,CABINET C-1,0.0011,NAS1149-F0332P.jpg,NAS1149-F0332P-spec.pdf,NAS1149-F0332P-cert.pdf
,,,,NAS1149-F0432P,1/4 FLAT WASHER CRES PASSIVATED DFAR,200,1x3x3,0.48,33.75,28.69,25.99,23.63,4200,2-3 DAYS,200,USA,Y,Y,Y,Y,Y,STILLWATER FASTENER,W05PMS,0.084375,CABINET C-1,0.0016,NAS1149-F0432P.jpg,NAS1149-F0432P-spec.pdf,NAS1149-F0432P-cert.pdf
